기관명,차량번호,차량모델,모델연도,주행거리,예정가,낙찰금액,입찰건수,차량설명(특이사항),경매일시,보관소,상세URL,공고번호
금융 공개매각,XXXX2282,카이엔COUPE(,,"98,988","116,000,000",,,"매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)정식수입차량으로 계산서 발행 가능함, 현금영수증발행불가.최초등록일(2024-04-04). 제작연도:2023년12월. 차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망). 차량키2EA. 메뉴얼있음. 오일서비스 메시지점등. 일부타이어 마모/균열. [ 공고문 참조 사항 ]낙찰시 낙찰금액 이",2025-12-04,인천보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMST232025A23&p_Code=1&p_CarNo=XXXX2282,
회원사 공개매각,XXXX8287,뉴 SM3,,"173,886","1,810,000",,,매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망).세금계산서발행불가/제작년도2014,2025-12-04,경기남부보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMAM012025A14042&p_Code=1&p_CarNo=XXXX8287,
금융 공개매각,XXX5618,BMW320dWLTP,,"167,859","10,500,000",,,"매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)정식수입차량으로 계산서 발행 가능함(단,리스이용시 계산서발행불가함), 현금영수증발행불가,차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망).차량키2개 메뉴얼있음 엔진오일누유 문턱흠집 최초등록일2018-11-16,제작연월2018-03월 반드시 현물 확인후 입찰 바랍니다. 본 차량을 낙찰",2025-12-04,광주보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMBM012025A1792&p_Code=1&p_CarNo=XXX5618,
금융 공개매각,XXXX9084,BMW745eiPerf,,0,"25,170,000",,,"매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)정식수입차량으로 계산서 발행 가능함, 현금영수증발행불가.최초등록일(2021-04-22) 차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망). 원부상 주행거리( 45,761) 자동차검사만료일(2027-07-08) 2020.07제작 키1개,메뉴얼북 없음, 차량사고로 시동불량, 낙찰시 견인",2025-12-04,경기동부보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMBM012025A1793&p_Code=1&p_CarNo=XXXX9084,
금융 공개매각,XXXX1792,G70,,"79,752","20,290,000",,,"매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)계산서 발행 가능함(단,리스이용시 계산서발행불가함), 현금영수증발행불가, 최초등록일(2020-01-30). 제작연도:2020년. 차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망). 차량키1EA. 메뉴얼있음. 블랙박스메모리 없음. 냉각수부족. 차체 일부 석회물오염. RPM불안정. 타이",2025-12-04,인천보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMBM012025A1794&p_Code=1&p_CarNo=XXXX1792,
금융 공개매각,XXXX9231,MINICooperSC,,"24,821","34,990,000",,,"매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)정식수입차량으로 계산서 발행 가능함(단,리스이용시 계산서발행불가함), 현금영수증발행불가, 최초등록일(2022-04-27)제작연월:2022-01, 차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망).수입차량 특성상 차량차체 및 골격 교환/판금수리 확인어려움으로 반드시 실차확인하세요 점검",2025-12-04,대전보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMBM012025A1795&p_Code=1&p_CarNo=XXXX9231,
금융 공개매각,XXXX2613,BMW620d,,"80,085","47,910,000",,,"매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)정식수입차량으로 계산서 발행 가능함(단,리스이용시 계산서발행불가함), 현금영수증발행불가, 차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망).키2개중1개 리모콘불량 메뉴얼/제작녀월2022-10 최초등록일2023-01-17사고부분더 확인안됨 실매물확인바람/ 본 차량을 낙찰받으실 경우 리",2025-12-04,경기남부보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMBM012025A1797&p_Code=1&p_CarNo=XXXX2613,
금융 공개매각,XXXX3977,BMW730LdxDri,,"69,868","52,500,000",,,"매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)렌트 차량으로 세금계산서 발행가능함, 현금영수증발행불가,최초등록일(2020-11-19)제작연월:2020-09, 차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망).수입차량 특성상 차량차체 및 골격 교환/판금수리 확인어려움으로 반드시 실차확인하세요 점검내용이 상이하더라도 절대 책임지지 ",2025-12-04,대전보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMBM012025A1798&p_Code=1&p_CarNo=XXXX3977,
회원사 공개매각,XXX9197,이스케이프,,"153,571","5,650,000",,,매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망). 제작 연도2014년/ 매매상사 이전차량 세금계산서 발행 가능,2025-12-04,경기북부2보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMAM012025A14093&p_Code=1&p_CarNo=XXX9197,
회원사 공개매각,XXX4672,카니발 R 디,,"104,250","4,250,000",,,매수대금 납부일: 매각결정 발표일의 익일 16시까지 (공고문 참조)차량내 소화기 없음(낙찰자 설치 의무있음-공고문 참고요망).매매상사이전차량세금계산서발행가능함/영업용이력있음/제작년도2013 최초등록일2013-11-25,2025-12-04,경기남부보관소,https://www.automart.co.kr/views/pub_auction/Common/CarDetail_in.asp?p_sel=2&PageNo=1&p_NotNo=GMAM012025A14043&p_Code=1&p_CarNo=XXX4672,
